Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,4,0,NULL,NULL,NULL
2020-03-14,1,0,NULL,NULL,NULL
2020-03-15,2,1,NULL,NULL,NULL
2020-03-16,20,4,NULL,NULL,NULL
2020-03-17,21,7,NULL,NULL,NULL
2020-03-18,28,11,NULL,NULL,NULL
2020-03-19,15,13,NULL,NULL,NULL
2020-03-20,15,15,NULL,NULL,NULL
2020-03-21,24,18,NULL,NULL,NULL
2020-03-22,22,21,NULL,NULL,NULL
2020-03-23,4,19,NULL,NULL,NULL
2020-03-24,26,19,NULL,NULL,NULL
2020-03-25,28,19,NULL,NULL,NULL
2020-03-26,20,20,NULL,NULL,NULL
2020-03-27,36,23,NULL,NULL,NULL
2020-03-28,29,23,NULL,NULL,NULL
2020-03-29,5,21,NULL,NULL,NULL
2020-03-30,11,22,NULL,NULL,NULL
2020-03-31,17,21,NULL,NULL,NULL
2020-04-01,11,18,NULL,NULL,NULL
2020-04-02,18,18,NULL,NULL,NULL
2020-04-03,16,15,NULL,NULL,NULL
2020-04-04,13,13,NULL,NULL,NULL
2020-04-05,6,13,NULL,NULL,NULL
2020-04-06,8,13,NULL,NULL,NULL
2020-04-07,8,12,NULL,NULL,NULL
2020-04-08,32,15,NULL,NULL,NULL
2020-04-09,16,14,NULL,NULL,NULL
2020-04-10,21,15,NULL,NULL,NULL
2020-04-11,6,14,NULL,NULL,NULL
2020-04-12,-20,10,NULL,NULL,NULL
2020-04-13,2,9,NULL,NULL,NULL
2020-04-14,8,9,NULL,NULL,NULL
2020-04-15,1,5,NULL,NULL,NULL
2020-04-16,8,4,NULL,NULL,NULL
2020-04-17,6,1,NULL,NULL,NULL
2020-04-18,8,2,NULL,NULL,NULL
2020-04-19,11,6,NULL,NULL,NULL
2020-04-20,6,7,NULL,NULL,NULL
2020-04-21,8,7,NULL,NULL,NULL
2020-04-22,5,7,NULL,NULL,NULL
2020-04-23,8,7,NULL,NULL,NULL
2020-04-24,6,7,NULL,NULL,NULL
2020-04-25,32,11,NULL,NULL,NULL
2020-04-26,10,11,NULL,NULL,NULL
2020-04-27,13,12,NULL,NULL,NULL
2020-04-28,5,11,NULL,NULL,NULL
2020-04-29,5,11,NULL,NULL,NULL
2020-04-30,12,12,NULL,NULL,NULL
2020-05-01,5,12,NULL,NULL,NULL
