Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,2,0,NULL,NULL,NULL
2020-03-09,2,1,NULL,NULL,NULL
2020-03-10,2,1,NULL,NULL,NULL
2020-03-11,0,1,NULL,NULL,NULL
2020-03-12,3,1,NULL,NULL,NULL
2020-03-13,11,3,NULL,NULL,NULL
2020-03-14,11,4,NULL,NULL,NULL
2020-03-15,12,6,NULL,NULL,NULL
2020-03-16,17,8,NULL,NULL,NULL
2020-03-17,11,9,NULL,NULL,NULL
2020-03-18,24,13,NULL,NULL,NULL
2020-03-19,8,13,NULL,NULL,NULL
2020-03-20,19,15,NULL,NULL,NULL
2020-03-21,14,15,NULL,NULL,NULL
2020-03-22,41,19,NULL,NULL,NULL
2020-03-23,7,18,NULL,NULL,NULL
2020-03-24,19,19,NULL,NULL,NULL
2020-03-25,12,17,NULL,NULL,NULL
2020-03-26,10,17,NULL,NULL,NULL
2020-03-27,43,21,NULL,NULL,NULL
2020-03-28,23,22,NULL,NULL,NULL
2020-03-29,22,19,NULL,NULL,NULL
2020-03-30,22,22,NULL,NULL,NULL
2020-03-31,27,23,NULL,NULL,NULL
2020-04-01,37,26,NULL,NULL,NULL
2020-04-02,26,29,NULL,NULL,NULL
2020-04-03,24,26,NULL,NULL,NULL
2020-04-04,21,26,NULL,NULL,NULL
2020-04-05,14,24,NULL,NULL,NULL
2020-04-06,49,28,NULL,NULL,NULL
2020-04-07,47,31,NULL,NULL,NULL
2020-04-08,101,40,NULL,NULL,NULL
2020-04-09,19,39,NULL,NULL,NULL
2020-04-10,14,38,NULL,NULL,NULL
2020-04-11,13,37,NULL,NULL,NULL
2020-04-12,14,37,NULL,NULL,NULL
2020-04-13,27,34,NULL,NULL,NULL
2020-04-14,66,36,NULL,NULL,NULL
2020-04-15,28,26,NULL,NULL,NULL
2020-04-16,114,39,NULL,NULL,NULL
2020-04-17,72,48,NULL,NULL,NULL
2020-04-18,40,52,NULL,NULL,NULL
2020-04-19,72,60,NULL,NULL,NULL
2020-04-20,12,58,NULL,NULL,NULL
2020-04-21,26,52,NULL,NULL,NULL
2020-04-22,45,54,NULL,NULL,NULL
2020-04-23,81,50,NULL,NULL,NULL
2020-04-24,35,44,NULL,NULL,NULL
2020-04-25,13,41,NULL,NULL,NULL
2020-04-26,6,31,NULL,NULL,NULL
2020-04-27,2,30,NULL,NULL,NULL
2020-04-28,3,26,NULL,NULL,NULL
2020-04-29,7,21,NULL,NULL,NULL
2020-04-30,5,10,NULL,NULL,NULL
2020-05-01,7,6,NULL,NULL,NULL
